stim_idx,quote,n_words,verbatim,any3gram
134,Piacenza e Piac,3,False,False
134,the bishops of Turin and Piacenza and Piacenza,8,False,False
135,"Later in his career, the band adopted a heavier style known as 'The Wall of Sound'",16,False,True
135,a dense wall of sound,5,False,True
135,a wall of sound,4,False,True
135,characterized by a dense wall of sound,7,False,True
135,and dense instrumentation,3,False,False
135,with layered vocals,3,False,False
135,is combined with intense overdubbing.,5,False,False
136, = = = Section : The timeline = ,3,False,False
137,In 1975 the surrounding land was declared a Historic Reserve and in 1981 the Botanic Gardens were formally established. In 1984 the,22,False,False
137,in 1984 the... In 1984 the,6,False,False
137,area was renamed,3,False,False
137,entire reserve's historic buildings and surrounding land became a national park.,12,False,False
138,Sir Winston Churchill,3,False,False
138,"Sir Winston Churchill ( December 30 , 1874 – January 24 , 1965 )",9,False,False
138,"Winston Churchill ( November 2 , 1885 – January 24 , 1965 )",8,False,False
138,was an American politician,4,False,False
138,is a famous German.,4,False,False
139,"Another theory suggests that Tyrannosaurus was a faster runner than previously thought, including Nip",14,False,False
140,"The fifth novel of Stephen King , his 25",8,False,False
140,"his 25th novel, his 25",5,False,False
140,"th novel in his series,",5,False,False
141,"My study documents the phylogenetic status of three genera with the name Cyrtopodium : Calathea , Dracaena , and",16,False,False
141,"identified Calathea , Ctenanthe ,",3,False,False
141,"Hypolepis , and Leandra",3,False,False
142,"One survivor was a Hungarian Jew who served in both the Holocaust and other concentration camps, including survivors of the",20,False,False
142,Survived both the,3,False,False
142,Survived both the,3,False,False
142,Belarusian and Ukrainian Holocausts.,4,False,False
143,The Nobel Prize in Physics,5,False,False
143,The neutrino was first proposed to be a particle that could explain the disappearance of a neutrino,17,False,False
143,the neutrino and the,4,False,False
143,"Whether the neutrino, or",4,False,False
143,"of the neutrino,",3,False,False
144,"The article traces the history and evolution of the term 'Koschei the Deathless', with its scientific classification and cultural context. The article 's section details",25,False,False
144, The article has begun its history and explanation... 's history...,10,False,False
144,s the following details,4,False,False
144,"...The article has been revised,",5,False,False
145,"The damage report noted that only two structures in Fairbanks sustained damage during the storm , ",15,False,True
145,Two buildings in Northwood suffered damage,6,False,False
145,Two buildings in Northwood experienced damage at the two buildings in Northwood ,12,False,False
145,both being destroyed,3,False,False
145,one being minor,3,False,False
145,"and a total of two vehicles,",6,False,False
146,"The character has received a video game series, a toy line, and a song; as well as a mascot appearance and a",22,False,False
146,"and a music album, an appearance in a video game and a",12,False,False
146,video game character,3,False,False
146,several toy lines,3,False,False
146,personal mascot book.,3,False,False
147,"The British aircraft had also attempted to bomb the German battleship 'Prinz Wilhelm' en route to Ouistreham, near Ou",19,False,False
147,"the planned attack on both positions, including nearby Ouistreham",9,False,False
147,istreham and other French towns.,5,False,False
148,The Good Wife.,3,False,False
148,In the episode ,3,False,False
148," , the cast discusses the upcoming episodes of 'The Simpsons' and the episode's plot is titled",16,False,False
148,"), directly continuing the clause ",4,False,False
149,The area was located in both Oakland and Che,9,False,False
149,Michigan and Che,3,False,False
149,two counties: Oakland and Che...,5,False,False
150,The Mk III was initially produced as a interim solution and was designated as a stopgap measure,17,False,False
150,proposed as a interim solution,5,False,False
150,developed as a interim solution and was a interim solution,10,False,False
150,before the permanent design,4,False,False
150,to fill a gap,4,False,False
150,for the shortage of supplies.,5,False,False
151,Another example was Alan Shearer who was promoted to the Premier League from the Championship in 1995 while playing for Blackburn Rovers in the,24,False,False
151,a player who played in the Championship of the,9,False,False
151,English Football League,3,False,False
152,"In another painting, Christ's Pilgrim is depicted as damned",10,False,False
152,"John the Baptist, who is condemned",6,False,False
152,John is condemned,3,False,False
152,"When Dante's poet Virgil is, John is condemned",9,False,False
152,to hell for his sins,5,False,False
152,in the underworld and must carry a torch,8,False,False
153,In the meantime the widow Anna took over the trading business of her husband and became a partner in the local bank. She received the inn in the village of Lauenburg,31,False,True
153,She took over the lease of the grocery store business in,11,False,True
153,the house and then sold it to her,8,False,False
154,"The first to isolate nitrogen was James Dewar, who used chemical reactions of gases condensed from liquid air",18,False,False
154,components separated from liquid air,5,False,False
154,first chemists who isolated nitrogen from liquids obtained from liquefied air,11,False,False
154,and the mixture.,3,False,False
155,"The Tigers took a 14-0 lead early in the fourth quarter, but Ohio State fumbled on their first possession",20,False,False
155,Ohio State scored a fumble on,6,False,False
155,The Buckeyes responded with a three-and-out on,9,False,False
155,their next drive,3,False,False
155,the following possession,3,False,False
155,"their final score, forcing a turnover.",6,False,False
156,The episode is the fifth episode of the series titled 'The Dark Knight' and is the first episode overall,19,False,True
156,"airdate and total episodes count, 12th overall",7,False,False
156,with a total of 12 episodes and 145 episodes overall and the script number overall,15,False,False
156,of the series,3,False,False
157,"The singer's vocal style was compared to Madonna's, with her debut single receiving positive reviews",17,False,False
157,her vocals compared to,4,False,False
157,Her vocal style has been compared to,7,False,False
157,Whitney Houston's,3,False,False
157,those of other female singers,5,False,False
157,the likes of Britney Spears.,5,False,False
158,"Thus the absence of the German battleship allowed British naval forces to concentrate on other duties, freeing many Allied warships from blockade duty",23,False,False
158,kept a number of Allied warships occupied a number of guard duty ships,13,False,False
158,in the Atlantic,3,False,False
158,that were otherwise tied up,5,False,False
158,"and prevented them from other duties,",6,False,False
159,Love Is the Reason.,4,False,False
159,"The music video for the single was also released, and a music video was",14,False,True
159,The music video was,4,False,True
159,An accompanying music video clip was,6,False,True
159,shot in November 2007,4,False,False
159,released on December 2007 and featured his nude.,8,False,False
160,"The game's levels were constructed using a hybrid 3D/2D process; characters were designed first, then animated. Models were built in",22,False,True
160,Models were built in,4,False,True
160,Elements were modeled in,4,False,False
160,a 2D software,3,False,False
160,blocks and then rearranged,4,False,False
160,the game's own grid system.,6,False,True
161,"Another specimen was the incomplete skeleton of Deinonychus antirrhopus, with a second specimen named US",15,False,False
161,a specimen number: US,4,False,False
162,Song by Taylor Swift,4,False,False
162,A 2005 song is a du,6,False,True
162,This is a duet,4,False,False
162,"ited song by Taylor Swift and another artist,",8,False,False
163,"Afterward, the resistance against the imperial forces grew stronger under the leadership of Emperor Alexander I and his generals and others",21,False,False
163,"by General Lambert, Ivan Yakovlev and others and others",9,False,False
163,in the mid-1810s,4,False,False
163,who defeated the invasion,4,False,False
164,Is the name 'John Smith' a valid Wikipedia article? The date '2012-03-15'...,14,False,False
164,T-12-03-15 and the date 1-...,8,False,False
165,In the 2011 Asian Games the Canadian team finished second in the World Military Games and the team also defended,20,False,False
165,where the team had successfully defended,6,False,False
165,when the team also when Korea had successfully defended their World Championship title...,13,False,False
165,their gold medal,3,False,False
165,their previous championship title,4,False,False
165,their championship points.,3,False,False
166,"A directed graph is a DAG if and only if it contains no cycles ; equivalently , ",15,False,False
166,a DAG is a directed graph that can be reached from a root,13,False,False
166,the DAG's adjacency graph is a directed acyclic graph,10,False,True
167,"The Long Lake is a long narrow lake north of the town, with a length of",16,False,False
167,Its length is approximately ,4,False,False
167,The lake is about,4,False,False
167,15 km long,3,False,False
167,a narrow lake basin with,5,False,False
167,"16 km² area,",3,False,False
168,"Although the author struggled to keep up with her writing schedule, she found it difficult to maintain a weekly pace and had to cut back on a",27,False,True
168,maintain up kept up a,5,False,False
168,"While struggling to maintain a pace, he couldn't keep up a",12,False,True
168,monthly output rate,3,False,False
169,Another Filipino actor who was also involved was Herman Bal,10,False,False
169,The late Dutch filmmaker Herman Bal,6,False,False
170,"The Vita of William de Warenne, who became Chancellor of England in 10",13,False,True
170,appointed as Chancellor in 10,5,False,False
171,"Additionally, Capitol Records delayed the album's release due to Columbia Records refusing to release the band's next single, with EMI threatening to not release",26,False,True
171,because EMI refused to release...with Columbia not willing to release,11,False,False
171,it on their own,4,False,False
171,the remaining tracks,3,False,False
171,the album from the label.,5,False,False
172,The aircraft was withdrawn from production in December 1942 but work continued on the Avro Lincoln's development programme. In 19,21,False,True
172,Decision was made in December 19,6,False,False
172,"43, the Ministry delayed the test.",6,False,False
173,"While initial reports stated that the storm did dissolve, it was reported that the system diss",16,False,False
173,reported that diss,3,False,False
173,While it was reported that the storm claimed to diss...,10,False,False
173,ipated on September 15,4,False,False
173,"ipated completely, but its track was unclear.",7,False,False
174,"While she was married to her first husband (2005) she never legally married her partner, Sarah. She did marry Robyn in 2012",22,False,False
174,She legally married Robyn,4,False,False
174,She also married religiously Robyn,5,False,False
174,in 2013 after their ceremony,5,False,False
174,on a later date.,4,False,False
175,The United States,3,False,False
175,"This passage provides a summary of the article's content about a country, including its characteristics and facts",18,False,False
175,2022...and the following paragraph...,5,False,False
175,the detailed description of the planet's properties,8,False,False
175,"3, ending the text.",4,False,False
176,Like a couple of my own novels...The Sick Chickens And Black Death,13,False,False
176,"Sick Sex And Silent Death, Black Death",7,False,False
176,and Other Tales,3,False,False
177,Prior to his election,4,True,True
177,Before his election to the legislature,6,False,False
177,Prior to his election,4,True,True
177,Following his election,3,False,False
177,"to the legislature,",3,False,False
177,"in 1995, he served as a municipal politician,",8,False,False
177,"to Parliament, he worked as a journalist",7,False,False
178,the work is also a dramatic opera ( also,8,False,False
178,a dramatic opera ( also,4,False,False
178,called 'opera comique',3,False,False
178,called dramatic fiction,3,False,False
179,One day the boy is denied entry to the video arcade,11,False,False
179,Having been kicked out of the video arcade,8,False,False
179,The boy has been forced from leaving the video arcade,10,False,False
179,because he was late,4,False,False
179,of a gambling hall due to his parents' anger,9,False,False
180,The sign indicates the route's designation as part of the Ohio Turnpike ( US Route 33 ) and ( US,18,False,False
180,Compare with: US Route 25 ( US,6,False,False
181,The species is found in the tropical waters,8,False,True
181,Found in the pelagic waters,5,False,True
181,"in the coastal waters,",4,True,True
181,Found in the coastal waters,5,True,True
181,of Southeast Asia,3,False,False
181,of the Indian Ocean and the western Pacific,8,False,False
181,of the surrounding areas of the Atlantic,7,False,False
182,"His health deteriorated during his visit to America, and he contracted influenza on",13,False,False
182,"He fell ill on a voyage home,",7,False,True
182,"He contracted influenza on,",4,False,False
182,He fell ill with influenza on,6,False,True
182,"the journey home, and died shortly after",7,False,False
183,Another famous example is Fender's Altec Lansing Model 5,10,False,False
183,The Radio王 Marshall 5,4,False,False
184,"Similarly, the Queens Boulevard Line cannot directly transfer to the Long Island Rail Road or other routes without a transfer station; vehicles traveling north from Manhattan cannot enter directly",29,False,False
184,cannot travel north to Manhattan and return to the subway directly... vehicles traveling from Manhattan cannot enter the Long Island Rail Road directly,23,False,False
184,into the subway,3,False,False
184,to the destination,3,False,False
184,"without a transfer,",3,False,False
185,"The name appears in Greek, Roman, and other historical texts, and is recorded by early travelers, scholars, and even the Bible and other sources",24,False,False
185,"and mentioned in the Bible, Greek scholars, Roman historians, and other sources, and",13,False,True
185,are recorded in medieval legends,5,False,False
185,the Byzantine era,3,False,False
185,also in later historical accounts,5,False,False
186,"Another example is the actor who starred in Buffy the Vampire Slayer, Dawson's Creek, and Angel",17,False,True
186,"Buffy, and Angel",3,False,False
186,from the series Buffy the Vampire Slayer and Angel,9,False,True
187,"Its diet is mainly herbivorous, and during the breeding season it feeds on in",14,False,True
187,It feeds on in,4,False,True
187,"sects and plant material,",4,False,False
188,End of the box,4,False,False
188,The following is a second box,6,False,False
189,The president of the Players Association ( PCA,7,False,False
189,the Professional Cricketers' Association ( PCA,5,False,True
189,the Professional Cricketers' Association ( PCA,5,False,True
190,Goffman's famous concept of 'The Presentation of Self in Everyday,11,False,True
190,"The Presentation of Self in Everyday Life,",7,False,True
190,Symbolic Interactionism in Everyday Life,5,False,False
191,Another television show called 'The Best of the Nineties' was a compilation of music from 1985 to 199,18,False,False
191,1985 to 199,3,False,False
191,between the best of the eighties and 199,8,False,False
192,SS John S. Kennedy.,4,False,False
192,A German-American merchant vessel named Kennedy. During,8,False,False
192,One of the ship's characteristics. During,7,False,False
192,"the war years, it was captured,",6,False,False
192,"his career, the vessel held various roles.",7,False,False
193,Her work has been influenced by the modernist movement and the Pre-Raphael,13,False,True
193,the Pre-Raphael,3,True,True
193,the Pre-Raphaelite and Pre-Raphael,6,False,False
193,"ites are mentioned,",3,False,False
194,"However , the character changed his name to a different , altered version with a different , ",14,False,True
194,"adopted a different , ",3,False,False
194,"Although his name changed to a different , adopted a different kanji",11,False,False
194,distinct character form,3,False,False
195,"The flight was scheduled to depart from Cincinnati at 11:45 a.m., and the estimated arrival time was 1:1",21,False,True
195,Arrival time: 1:1,4,False,False
196,"The church remained vacant during the early years of the Reformation, before being dissolved as part of the English Reformation in",21,False,False
196,the Act of Supremacy in,5,False,False
196,the Reformation's end came with the English Reformation in the Act of Supremacy in,15,False,False
197,"While originally a large watershed, the surrounding area of the Bronx River has been greatly reduced due to urbanization",19,False,False
197,its watersheds water area has been,6,False,False
197,divided into smaller areas,4,False,False
197,almost completely eliminated from natural water.,6,False,False
198,"The discovery of C60 was attributed to two scientists, who named it Buckminsterfullerene. Strom",14,False,False
198,"Initially, Stromeyer isolated the substance...",5,False,False
198,eyer and other scientists,4,False,False
198,eyer's name was the first to record.,8,False,False
199,The re-opening of the ride in 2005 featured a new interior redesign. The ride's 2010 update featured,19,False,True
199,The update featured,3,False,False
199,The 2010 update to the ride featured...,7,False,False
199,"an updated interior,",3,False,False
199,a new sound system.,4,False,False
