stim_idx,doc_idx,pos,pos2,token_str,context_left_64,context_right_16,seq_len,doc_tokens
100,379,254,178, serve,"avals in the kingdom , World War II , the establishment of Communist rule and the breakup of the SFR Yugoslavia . 
 The President of the Republic ( Croatian : Predsjednik / ica Republike ) is the head of state and the commander in chief of the Croatian armed forces and is directly elected to", a five @-@ year term . The government ( Croatian : Vlada,512,5324
101,538,131,458, and," the USA . It began operation in the United States in 1946 . It was owned by DuMont Laboratories , a television equipment and set manufacturer . The network was hindered by the prohibitive cost of broadcasting , by regulations imposed by the Federal Communications Commission ( FCC ) which restricted the company 's growth ,"," even by the company 's partner , Paramount Pictures . Despite several innovations in broadcasting",512,7554
102,75,413,85, matter," other nations how to drill for oil . 
 The complex of refining and chemical companies is called Chemical Valley and located south of downtown Sarnia . The city has the highest level of particulates air pollution of any Canadian city because of its reliance on the petrochemical industry . About 60 percent of the particulate"," , however , comes from the neighboring United States . Lake Huron is cooler than",512,8427
103,95,474,497, sing," 't really in the mood for singing about why it hurts so bad , "" said Houston . Two years later , according to Chris Willman of Entertainment Weekly , the emotions of the movie merged with the real @-@ life circumstances of Houston 's troubled marriage to Bobby Brown . "" Now , I 'm ready to"," not only the joys of things , but the pains of things , also , """,512,1464
104,469,148,227, characters," the primary antagonist . He is the leader of a mercenary team hired by billionaire Charles Widmore ( played by Alan Dale ) that is sent to the island on a mission to capture Widmore 's enemy Ben Linus ( Michael Emerson ) from his home , then torch the island . 
 Unlike Lost 's ensemble of"," who , according to the writers , each have good and bad intentions , the writers",512,3533
105,99,283,341, NBC,"8 million viewers and received a 2 @.@ 0 rating / 5 % share in the 18 – 49 demographic , marking a 5 % rise in the ratings from the previous episode , "" First Christmas "" . It ranked third in its timeslot and was the second highest @-@ rated"," program of the night after The Office . 
 
 = = Plot = = 
 
 After",512,1552
106,381,235,89, for," one of the primary backups to Mike Hart . In his third year , he emerged from a field of five runners who were vying to replace Hart , including two true freshmen , as the leading rusher and scorer . He has shared starting responsibilities in his junior and senior seasons . He entered his senior season on the watch lists", the Doak Walker Award and the Maxwell Award . ESPN.com ranked him as the,512,2647
107,280,477,359,9," interest in the religious and magical beliefs of England . After serving in the Royal Air Force during the Second World War , he returned to working at Brighton Museum , but in 1950 was appointed Assistant Keeper of the Guildhall Museum in the City of London . Over a six @-@ month period in 1","56 and 1957 , he was stationed in Accra ,",512,2574
108,91,36,419, debut," = Dangerously in Love Tour = 
 
 The Dangerously in Love Tour was the debut concert tour by American recording artist Beyoncé . Although the tour was intended to showcase songs from her"," solo album , Dangerously in Love , ( 2003 ) the",512,1360
109,303,379,106, used,"919 , the avenue was numbered as part of M @-@ 16 . Later it became US Highway 16 ( US 16 ) . Grand River Avenue was supposed to be the path for I @-@ 96 from Novi into downtown Detroit , and a section of freeway now", by M @-@ 5 was constructed as part of I @-@,512,3597
110,160,320,264, activity," certain organisms the genetic code can include selenocysteine and — in certain archaea — pyrrolysine . Shortly after or even during synthesis , the residues in a protein are often chemically modified by post @-@ translational modification , which alters the physical and chemical properties , folding , stability ,"," , and ultimately , the function of the proteins . Sometimes proteins have non @-",512,7915
111,55,30,475, the," = 2013 – 14 York City F.C. season = 
 
 The 2013 – 14 season was", 92nd season of competitive association football and 77th season in,512,4716
112,591,372,169, the," beaches but they were outnumbered and over the course of the week the defenders were pushed back towards the centre of the island , towards the city of Singapore . They suffered heavy casualties during this time , before subsequently becoming prisoners of war after the fall of Singapore . 
 Meanwhile , a detachment of about 100 men from"," battalion , who had been left behind in Australia when it deployed to Singapore , also",512,6567
113,52,23,61, ," = Hadji Ali = 
 
 Hadji Ali ( c . 1887 – 92 – November","5 , 1937 ) was a vaudeville performance artist ,",512,2741
114,47,391,90, on," million . 
 
 = = Meteorological history = = 
 
 The storm originated in an upper @-@ level low pressure system that moved southeastward from the central Great Plains into the Deep South of the United States . After reaching the southeast Gulf of Mexico , the disturbance underwent cyclogenesis , and the resultant system moved through Florida", December 22 in response to an approaching trough . National Hurricane Center forecaster,512,2542
115,415,270,461," """," "" was written and composed during the late stages of production of Coldplay 's second album , A Rush of Blood to the Head . A riff popped into Chris Martin 's mind late one night in Liverpool when he came in to the studio , where he then developed it on piano . According to Martin , "" Clocks", was inspired by the English rock band Muse . Martin presented the riff to the band,512,2643
116,212,476,148, portrayed,"00 tribbles were purchased from a company owned by Majel Barrett . Charlie Brill returned to Star Trek to appear once more as Arne Darvin , and Deidre L. Imershein was cast in part due to her being friends with one of the production crew members . Walter Koenig , who"," Ensign Pavel Chekov in The Original Series , showed the Deep Space Nine cast",512,4560
117,221,48,261, on," = Marauders ( Star Trek : Enterprise ) = 
 
 "" Marauders "" is the sixth episode of the second season of the American science fiction television series Star Trek : Enterprise , the 32nd episode overall . It first aired"," October 30 , 2002 , on the UPN network",512,1780
118,567,433,325, he," imam of the area 's mosque . Displeased with the mixture of Islam and animistic Javanese mysticism , which leads to poor Javanese spending exorbitant amounts of money on religious ceremonies , Darwis decides to go on the hajj to Mecca in Saudi Arabia . While there ,", studies what he considers the true form of Islam over a period of five years .,512,1966
119,296,49,338, locally," = Mogadishu = 
 
 Mogadishu ( / ˌmɔːɡəˈdiːʃuː / ; Somali : Muqdisho ; Arabic : مقديشو Maqadīshū ) , known"," as Hamar , is the capital and most populous city of Somalia . Located in",512,12941
120,393,186,128, promised," . The episode also earned 3 other Emmy nominations as well as WGA : Episodic Drama and DGA – Drama Series nominations . 
 Frank Underwood ( Kevin Spacey ) is an ambitious Democratic congressman and the House Majority Whip . Underwood helped ensure the election of President Garrett Walker ( Michel Gill ) , who"," to appoint Underwood as Secretary of State . However , before Walker is sworn in",512,3499
121,373,229,449,ulation,"-@ Hur and Cleopatra were filmed . On the set , realism and authenticity were emphasized more than grandiosity , with depictions of a cosmopolitan city of all social classes . 
 As the wars in Gaul come to an end , Julius Caesar ( Ciarán Hinds ) is faced with both triumph and trib", . On the heels of his victory comes news of his daughter 's death .,512,4557
122,281,495,85,8," . Braathens ' main domestic competitor was Scandinavian Airlines System ( SAS ) , which operated all the primary domestic routes Braathens SAFE did not , in addition to the international routes . Braathens took Boeing 737 @-@ 200s and Fokker F @-@ 2",s into use in 1969 ; Kristiansund was first served,512,12559
123,517,294,393, in," was to be released over a month after Lopez 's album , she changed the song 's melody to sample from "" Candy "" instead . Controversy ensued following its release ; Carey was hospitalized for severe mental and physical exhaustion , following poorly received television appearances involving the song and album . 
 After the song 's release"," the United States , "" Loverboy "" stalled on the Billboard Hot 10",512,4370
124,419,144,135," ,"," and two strikeouts in that game . 
 Born in West Germany , Wever moved to the United States as a child , where he took up baseball . He played baseball in high school and the University of California , Santa Barbara , which led to him being drafted by the New York Yankees . After four seasons in the minor leagues", Wever made his major league debut on 17 September 198,512,1499
125,465,119,456,8," Mustang Island , and is fed by the Nueces River and Oso Creek from its western and southern extensions , Nueces Bay and Oso Bay . The bay is located approximately 136 miles ( 219 km ) south of San Antonio , and 179 miles ( 28"," km ) southwest of Houston . 
 Corpus Christi Bay has a rich history of",512,2750
126,464,124,78,less," season , played between the Chicago Cubs and San Francisco Giants to determine the winner of the National League ( NL ) wild card . The game took place at Wrigley Field in Chicago , on September 28 , 1998 . The Cubs won the game 5 – 3 , holding the Giants score", for the majority of the game until the Giants threatened heavily in the ninth inning and,512,2130
127,557,77,402,ed," 1985 political novel by Doris Lessing . It was first published in September 1985 in the United Kingdom by Jonathan Cape , and in the United States by Alfred A. Knopf . The story examines events in the life of Alice , a naïve and well @-@ intention"," squatter , who moves in with a group of radicals in London , and is",512,4878
128,331,159,413, ware," there in 1947 – 1950 . The site was identified as the port of Podouke , known as an "" emporium "" in the Periplus of the Erythraean Sea and Ptolemy . Digs have found Amphorae , Arretine"," , Roman lamps , glassware , glass and stone beads , and gems at the",512,2898
129,98,306,441, Club," County Cricket Club was formed in 1865 , and was the first attempt at setting up a county cricket team for Somerset . The attempt was unsuccessful , and the club broke up . In 1874 , the club was re @-@ formed with the lesser remit , as Yeovil Cricket"," . As part of the club 's resuscitation , the committee purchased the",512,1380
130,26,290,395, The," detailed below are the history , mechanism , scope , and enantioselective variants of the reaction . Several reviews have been published . 
 
 = = History = = 
 
 The original publication by Johnson concerned the reaction of 9 @-@ dimethylsulfonium fluorenylide with substituted benzaldehyde derivatives .", attempted Wittig @-@ like reaction failed and a benzalfluorene,512,2625
131,435,417,46, (," Snell and Esther Amelia Dick placed it in Calodon in 1956 ; Hydnum peckii ( Banker ) Sacc. and Calodon peckii Snell & E.A. Dick are synonyms of Hydnellum peckii . 
 The fungus is classified in the stirps", species thought to be descendants of a common ancestor ) Diabolum of the genus,512,3066
132,426,293,241,ers," 2003 , Tokyopop licensed The One I Love for an English @-@ language translation in North America , and published it in October 2004 . Viz Media republished the manga in February 2015 . The manga has also been translated into other languages . Review", have identified a few themes in the collection . They had a range of reactions to,512,2036
133,223,159,240,ed," Que Te Conocí "" in salsa after hearing it on the radio during a taxi ride . Recorded on a low budget , the album peaked at No. 2 on the Billboard Tropical Albums chart and reached No. 30 on the Billboard Top Latin Albums chart . 
 The album was well received by critics who compliment", George 's production and Anthony 's youthful voice . Anthony received two awards for,512,1294
134,97,220,259,iac," his pontificate . In 1759 Jesuits were expelled from Portugal , in 1762 from the Kingdom of France , in 1767 from Spain and in 1768 from the Kingdom of Naples , the Kingdom of Sicily and the Duchy of Parma and P",enza . Clement XIII strongly defended the Society ( e.g. in the bull Apost,512,5326
135,33,421,326, sound," 2011 , each written in a different style , and Townsend continues to record and tour under the new moniker . 
 Across all his bands and projects , Townsend has released twenty @-@ three studio albums and three live albums . Townsend 's trademark production style , featuring a heavily multitracked wall of"," , has been compared to the styles of Phil Spector and Frank Zappa .",512,6521
136,96,368,491, =," suffering a stress @-@ induced cardiac arrest . The United States Virgin Islands also sustained significant damage , costing roughly $ 6 million . Numerous boats and homes were damaged and over 100 power poles were snapped . Total losses from the storm were estimated at $ 79 million . 
 
 = = Meteorological history"," = 
 
 On September 30 , a well @-@ developed tropical wave",512,3571
137,540,331,199, the," the land under the auspices of the City of Burnside . 28 years later the government took back the management of the southern part of Waterfall Gully , designating it as South Australia 's first National Pleasure Resort . Today this area remains under State Government control , and in 1972"," Waterfall Gully Reserve , as it was then known , became part of the",512,4808
138,384,56,290, )," = Laurence Olivier = 
 
 Laurence Kerr Olivier , Baron Olivier , OM ( / ˈlɒrəns kɜːr ɒˈlɪvieɪ / ; 22 May 1907 – 11 July 1989"," was an English actor who , along with his contemporaries Ralph Richardson and John G",512,15894
139,579,130,310,ip," million years ago . It lived in what is now North America . Its name means "" helmet lizard "" , derived from Greek κόρυς . It was named and described in 1914 by Barnum Brown . Corythosaurus is now thought to be a lambeosaurine , related to N","ponosaurus , Velafrons , Hypacrosaurus , and O",512,6144
140,315,28,436,5," = The Litigators = 
 
 The Litigators is a 2011 legal thriller novel by John Grisham , his 2",th fiction novel overall . The Litigators is about a two @-@ partner,512,3956
141,317,484,88," ,"," , there have been several phylogenetic studies investigating the Sclerodermatineae . Some studies have revealed the existence of numerous cryptic species and have contributed to taxonomic expansion of the group . The "" core "" Sclerodermatineae include the genera Astraeus , Calostoma"," Scleroderma , Pisolithus , Diplocystis , Trem",512,1801
142,77,422,217, the," camps . Her first husband died in the war . She considered the day of her liberation as the most horrible day of her life , as she realized that she was alone , her parents and siblings gone . Norman 's father , Zacharias Finkelstein , active in Hashomer Hatzair , was a survivor of both"," Warsaw Ghetto and the Auschwitz concentration camp . 
 After the war they met in",512,12242
143,105,36,467,1," = Frederick Reines = 
 
 Frederick Reines ( RYE @-@ ness ) ; ( March 16 , 1918 – August 26 , ",998 ) was an American physicist . He was awarded the 19,512,3489
144,216,482,37,1," genus Mycena . Synonyms for the species include Agaricus conicus named by William Hudson in 1778 , Agaricus crispus described by August Johann Georg Karl Batsch in 1893 , Stereopodium galericulatum by Franklin Sumner Earle in ","909 , and Prunulus galericulatus by William Alphon",512,2310
145,359,310,424," ,"," on August 8 southwest of San Antonio , Texas . 
 Prior to Abby 's landfall in Texas , gale warnings were issued for the coast and residents on Matagorda Island were evacuated . Overall , the storm 's impacts were limited due to its small size . Only two structures sustained damage in Matagorda"," one being destroyed by a possible tornado , and the remaining effects resulted from flooding in",512,1666
146,623,407,222, a," public knowledge of the animal , which allowed the writers to make things up about the species . Critical reception for the character from both professionals and fans have been considerably positive . Merchandising of the character include plush toys , t @-@ shirts , wooden toys , glasses , and coloring books , along with appearances in literature and"," 2009 video game for the Nintendo DS . 
 
 = = Role",512,3497
147,289,442,427, Ou," the Merville Gun Battery . Allied planners had judged from the size of the concrete gun emplacements that the guns must be around 150 mm in calibre . If so , the guns would have a range of about 8 miles ( 13 km ) and could threaten Sword Beach , to the west of","istreham , where the 3rd British Infantry Division were due to land",512,2537
148,475,72,20," """," "" Road to the North Pole "" is the seventh episode of the ninth season of the animated comedy series Family Guy . Directed by Greg Colton and co @-@ written by Chris Sheridan and Danny Smith , the episode originally aired on Fox in the United States on December 12 , 2010 . In"," Road to the North Pole "" , two of the show 's main characters ,",512,3167
149,376,66,197, Che," @-@ 108 ( Michigan highway ) = 
 
 M @-@ 108 was a state trunkline highway in the US state of Michigan . The highway followed Nicolet Street , although some maps also labeled it as the Mackinaw Highway . The road was on the boundary between Emmet and","boygan counties . 
 The original M @-@ 108 designation",512,861
150,530,70,55, solution," Motor Carriage = 
 
 The T30 Howitzer Motor Carriage ( HMC ) was a United States Army self @-@ propelled gun used in World War II . Its design was based on requirements for an assault gun issued by the Armored Force in 1941 and it was built as an interim"," until a fully tracked design was complete . 
 Produced by the White Motor Company ,",512,1340
151,346,144,339, the, making his first team debut in a Second Division match in 1996 . Having scored 19 goals for York in the 1998 – 99 season he signed for Premier League team Sheffield Wednesday in 1999 . After their relegation the following year he joined Leicester City of," Premier League , but was loaned to First Division side Preston North End in ",512,4200
152,172,275,151, condemned," , and Tennyson draws on Homer 's narrative in the poem . Most critics , however , find that Tennyson 's Ulysses recalls Dante 's Ulisse in his Inferno ( c . 1320 ) . In Dante 's re @-@ telling , Ulisse is"," to hell among the false counsellors , both for his pursuit of knowledge beyond",512,5195
153,617,487,364, in," age of 26 , with her three children to Stümpe dying as infants . About 1830 Friedrich Wilhelm Busch , the illegitimate son of a farmer , settled in Wiedensahl after completing a business apprenticeship in the nearby village of Loccum . He took over the Kleine shop"," Wiedensahl , which he completely modernised . 
 
 = = Life =",512,10382
154,348,330,484, air," . 
 
 = = History = = 
 
 Xenon was discovered in England by the Scottish chemist William Ramsay and English chemist Morris Travers in September 1898 , shortly after their discovery of the elements krypton and neon . They found xenon in the residue left over from evaporating components of liquid", . Ramsay suggested the name xenon for this gas from the Greek word �,512,8724
155,184,405,78, on," lead by halftime . In the third quarter , the game turned into a defensive battle . Neither side scored until late in the third quarter , when Tech took advantage of a State fumble to score the first touchdown of the second half . Tech failed to convert a two @-@ point conversion , but NC State fumbled again"," the ensuing possession , and Tech was able to drive for another touchdown . Leading ",512,7213
156,458,34,444, overall," = President Evil = 
 
 "" President Evil "" is the fifth episode of the third season of the American mystery television series Veronica Mars , and the forty @-@ ninth episode", . Written by Jonathan Moskin and David Mulei and directed by Nick Mar,512,1555
157,501,218,45, to," by the group . Roberts also claimed the track had defined her musical style . 
 "" Yo @-@ Yo "" is a 1950s @-@ themed electropop and synthpop song in which Roberts sings about an undecided lover . The song received positive reviews from critics , who compared Roberts ' vocals"," those of singer Kate Bush . Commercially , it was a failure , charting",512,2116
158,23,252,204, ships," 1915 . However , Allied control of the Strait of Otranto meant that the Austro @-@ Hungarian Navy was , for all intents and purposes , effectively bottled up in the Adriatic . Nonetheless , the presence of the Zrínyi and other battleships tied down a substantial force of Allied"," . 
 With the war going against the Austrians by the end of 1",512,2806
159,490,229,171, was," "" garnered positive reviews from music critics , who complimented the song 's sexual lyrics . In the United States , it peaked at number 25 on the Hot R & B / Hip @-@ Hop Songs chart , and number 89 on the Billboard Hot 100 chart . The accompanying music video"," co @-@ directed by Godfrey Taberez and Brown , and filmed at",512,1929
160,603,258,500, in," collaborated on a puzzle game that became Fez . When McGrath left the project due to creative differences , Fish , the game 's artist , pursued a platform game direction with Renaud Bédard , the game 's programmer , who wrote the game 's level editor and game engine from scratch . Levels were built", 3D by extruding surfaces with Photoshop @-@ created textures . B,512,3357
161,58,359,400, US," dubious name "" , based on a specimen too incomplete to compare to other specimens or to classify ) . In an attempt to fix this situation , Gregory S. Paul and Kenneth Carpenter ( 2010 ) submitted a petition to the ICZN to have the name A. fragillis officially transferred to the more complete specimen",NM4734 ( as a neotype ) . This request is currently,512,3293
162,264,19,169, du," = My Boo ( Usher and Alicia Keys song ) = 
 
 "" My Boo "" is a","et between American R & B singers Usher and Alicia Keys , written by U",512,1862
163,529,503,149, others," and the beginning of the Southern Song . 
 The Jurchens tried to conquer southern China in the 1130s , but they were bogged down by a pro @-@ Song insurgency in the north and a counteroffensive by the Song generals Yue Fei , Han Shizhong , and", . The generals regained some territories but retreated,512,13915
164,486,268,444,-," of the Gracie family . He was also a promoter of Japanese emigration to Brazil . Maeda won more than 2 @,@ 000 professional fights in his career . His accomplishments led to him being called the "" toughest man who ever lived "" and being referred to as the father of Brazilian Jiu @","@ jitsu . 
 
 = = Biography = = 
 
 Maeda was born in",512,5036
165,85,332,453, defended," 
 Del Toso made her debut with the Australia women 's national wheelchair basketball team , known as the Gliders , at the 2009 Osaka Cup in Japan . Since winning a silver medal in London , she has participated in the 2013 Osaka Cup in Japan , where the Gliders successfully"," the title they had won in 2008 , 200",512,1522
166,498,97,269," ,"," graph with no directed cycles . That is , it consists of finitely many vertices and edges , with each edge directed from one vertex to another , such that there is no way to start at any vertex v and follow a consistently @-@ directed sequence of edges that eventually loops back to v again . Equivalently"," a DAG is a directed graph that has a topological ordering , a sequence of",512,4997
167,424,331,186, ,"ataracts below Tumtum Lake . Its flow drops by 5 metres ( 16 ft ) per kilometre in certain sections . After travelling for 94 kilometres ( 58 mi ) and entering the Shuswap Highland , it enters the northern end of Adams Lake . 
 Adams Lake is roughly",72 kilometres ( 45 mi ) along its north @-@ south,512,2241
168,205,300,509, a," male at birth . 
 Eguchi wanted to create a romantic comedy manga where the main female character is a cross @-@ dressing boy so as to poke fun at the genre . He took more time to draw the chapters compared to his earlier manga , and as the serialization continued , he found it increasingly difficult to keep up", weekly pace for the chapters . He eventually abandoned the series after the editor @-,512,4619
169,263,381,172, Bal," abilities . After two battles with the gang , Basuki and The Laughing Mask are victorious . Basuki and Minarsih can live together in peace . 
 
 = = Production = = 
 
 Kedok Ketawa was the first film produced by Union Films , one of four new production houses established after the success of Albert",ink 's Terang Boelan revived the ailing film industry of the Dutch,512,1386
170,282,47,106,0," = Gerard ( archbishop of York ) = 
 
 Gerard ( died 21 May 1108 ) was Archbishop of York between 1100 and 1108 and Lord Chancellor of England from 1","85 until 1092 . A Norman , he was a member",512,2663
171,21,150,452, release,"00 , and its last to be released by Def Jam Recordings , although the album became an American Recordings album after Rick Rubin ended his partnership with Russell Simmons . It was one of only two Def Jam titles to be distributed by Geffen Records through Warner Bros. Records because of original distributor Columbia Records ' refusal to", work by the band . The release peaked at number 57 and in ,512,3001
172,448,150,418,9," operations . Three prototypes were ordered with the company designation of B @-@ 48 and the informal name of "" Firecrest "" , but only two of them actually flew . The development of the aircraft was prolonged by significant design changes and slow deliveries of components , but the determination by the Ministry of Supply in 1",46 that the airframe did not meet the requirements for a strike fighter doomed,512,2488
173,474,151,347, diss," , reaching peak winds of 70 mph ( 120 km / h ) before weakening and hitting Oaxaca as a tropical depression . In Mexico , El Salvador , and Guatemala , the system brought heavy rainfall , which killed 18 people and caused flooding and damage . It was originally thought that Olaf","ipated over Mexico , although its remnants continued westward for a week . It interact",512,1382
174,155,277,491,yn," wife , Robyn Sullivan , in 2010 . Sullivan was the first new wife to enter the family in 16 years . 
 The only legal marriage was between Kody and his first wife Meri , until their legal divorce in September 2014 . ( He legally married fourth wife Rob", in December 2014 in order to legally adopt her three children ),512,4138
175,125,296,475,1," 
 The island 's geography comprises relatively low @-@ lying mountains surrounding a central plain , with several navigable rivers extending inland . The island has lush vegetation , a product of its mild but changeable climate which avoids extremes in temperature . Thick woodlands covered the island until the Middle Ages . As of 20","3 , the amount of land that is wooded in Ireland is about 11",512,18636
176,429,493,387, Death,"ed . However , even after coming out , his substance abuse remained excessive and "" still had a life of its own "" . After sobering up , he attended UCLA film school , where he was one of the winners of the Samuel Goldwyn Writing Awards , and directed two films : Mouse Klub Konfidential and Blonde"," . Mouse Klub Konfidential , a film about a Mickey Mouse Club Mouse",512,3085
177,273,327,442, election," he advocated for Open Sky agreements and continued this advocacy in his post @-@ political life by establishing the non @-@ profit organization OpenSkies4Canada . Howard did not seek re @-@ election during the 2013 provincial election and was replaced by BC Liberal Teresa Wat . 
 Prior to his"," to the legislature , Howard worked in property management . He served as a City C",512,2153
178,61,510,138, also,"son 's moralitas more fully involves the husbandman . 
 Another source may be Aesop 's Fables as published by William Caxton — scholar John MacQueen considers this more likely than Disciplina clericalis — although the tale itself is not Aesopic but rather of the beast fable (", beast,512,1623
179,382,295,86, arcade," The Archies . Since airing , the episode has received mostly positive reviews from television critics . It acquired a Nielsen rating of 13 @.@ 0 , and was the highest @-@ rated show on the Fox network the week it aired . 
 
 = = Plot = = 
 
 After being forced to leave the amusement"," for being out of money , Bart and Milhouse find $ 20 that",512,2290
180,122,53,257, US," = M @-@ 122 ( Michigan highway ) = 
 
 M @-@ 122 was a state trunkline highway in the US state of Michigan entirely in the city of St. Ignace . The highway connected US Highway 2 (", 2 ) to the State Highway Ferry Dock used before the Mackinac Bridge,376,376
181,535,39,370, waters," = Diamond stingray = 
 
 The diamond stingray ( Dasyatis dipterura ) is a species of stingray in the family Dasyatidae . It is found in the coastal"," of the eastern Pacific Ocean from southern California to northern Chile , and around the Gal",512,2858
182,362,423,98, on," his time spent in France , Notes of a Camp @-@ Follower on the Western Front . Hornung 's fragile constitution was further weakened by the stress of his war work . To aid his recuperation , he and his wife visited the south of France in 1921 . He fell ill from influenza"," the journey , and died on 22 March 1921 ,",512,6265
183,81,353,212,5," for its popularity to be established with professional users . As recording engineers came to rely on the NS @-@ 10 as a benchmark , it dominated the mixing of pop and rock music throughout the world for at least 20 years . 
 The NS @-@ 10 displaced the Auratone ",C Sound Cube as the nearfield monitor of choice in the 198,512,2509
184,140,459,467, directly," before leaving for SR 94 with those vehicles originating from the Snapper Creek Expressway . There is no direct connection for southbound motorists on SR 874 to head east on SR 878 ; likewise , westbound motorists on SR 878 cannot head north along SR 874"," . 
 From here , SR 878 heads predominantly eastwards as a",512,1638
185,226,302,294, and," @-@ rat KUR.a @-@ ri @-@ bi ) . There are also Aramaic and Old South Arabian inscriptions recalling the Qedarites , who further appear briefly in the writings of Classical Greek , such as Herodotus , and Roman historians , such as Pliny the Elder ,"," Diodorus . 
 It is unclear when the Qedarites ceased to exist",512,5471
186,461,368,302, Angel," feedback from critics , and has been defined by her sex appeal and called "" overtly sexual , coy and kitteny "" , and "" tasty "" . Critics have positively and negatively compared the role to Carpenter 's previous performance as Cordelia Chase on the supernatural dramas Buffy the Vampire Slayer ( 1997 ) and", ( 1999 ) ; Demian of Television Without Pity criticized,512,2519
187,70,385,112, in," . These hatch in 19 – 20 days , and the black precocial chicks fledge after about five weeks . This crake is in steep decline across much of its former breeding range because modern farming practices often destroy nests before breeding is completed . The corn crake is omnivorous but mainly feeds on","vertebrates , the occasional small frog or mammal , and plant material including grass",512,6597
188,451,403,276, =," at Bình Giã , fighting a large set @-@ piece battle for the first time . Over a period of four days , the Viet Cong 9th Division held its ground and mauled the best units the South Vietnamese army could send against them , only breaking after intense attack by U.S. bombers . 
 
 ="," Background = = 
 
 In 1964 , the political establishment in South",512,4245
189,230,388,275, PCA,"anger , who announced during the season that it would be his last with Somerset . Marcus Trescothick topped the national batting tables , scoring almost 3 @,@ 000 runs in all competitions in 2009 ; as a result , he was named as both Professional Cricketers ' Association (", ) Player of the Year and the PCA 's Most Valuable Player of the,512,2194
190,504,168,60, Everyday,"ermas . 
 Goffman was the 73rd president of the American Sociological Association . His best @-@ known contribution to social theory is his study of symbolic interaction . This took the form of dramaturgical analysis , beginning with his 1959 book , The Presentation of Self in", Life . Goffman 's other major works include Asylums ( ,512,6963
191,45,276,503,9," 1987 , the song won Best Single at the Brit Awards , and Best International Hit at the Ivor Novello Awards . In 2005 , 20 years after its release , the song was awarded Song of The Decade between the years 1985 and 19",4 by the British Academy of Composers and Songwriters . In 2,512,2796
192,357,33,299, During," = SS El Sol = 
 
 SS El Sol was a cargo ship built in 1910 for the Morgan Line , a subsidiary of the Southern Pacific Company ."," World War I , she was known as USAT El Sol in service with the",512,1704
193,2,237,19, Raphael," stained glass window for St. Edmund 's Church , Pitlake , and her painting of the Christ Child , The Darling of the World Has Come , was purchased by Queen Mary . 
 Barker was equally proficient in watercolour , pen and ink , oils , and pastels . Kate Greenaway and the Pre @-@",ites were the principal influences on her work . She claimed to paint instinctively and,512,4183
194,92,285,399," ,"," ( 1684 ) , a new distinct fictional Zhou Tong emerged , which differed greatly from his historical persona . Not only was he now from Shaanxi ; but he was Yue 's adopted father , a learned scholar with knowledge of the eighteen weapons of war , and his personal name was spelled with a different"," yet related , Chinese character . The novel 's author portrayed him as an elderly",512,9159
195,422,383,501,1,"91 ) and was operated by Comair as Comair Flight 5191 ( OH5191 ) . It is usually identified as Comair Flight 5191 . 
 The flight had been scheduled to land at Hartsfield @-@ Jackson Atlanta International Airport at 7 : ","8 a.m. 
 The aircraft involved was a 50 @-@",512,3265
196,189,278,308, in," suffered an incendiary attack by the followers of the Lord of the Isles . The number of clerics required to staff the cathedral continued to grow , as did the number of craftsmen needed to maintain the buildings and surrounds . The number of canons had increased to 25 by the time of the Scottish Reformation"," 1560 , when the cathedral was abandoned and its services transferred to",512,7778
197,569,495,174, been,"5 miles ( 5 @.@ 6 km ) to the San Francisco Bay . The mouth was nearly 2 miles ( 3 @.@ 2 km ) wide , providing up to 85 % of the drinking water in San Francisco . Due to urban development , however , the watershed of Islais Creek has", reduced by roughly 80 % from its historical extent . A large number of,512,1661
198,170,412,109, Strom," bearing mixture of minerals that was named after the Greek mythological character Κάδμος , Cadmus , the founder of Thebes ) was discovered simultaneously in 1817 by Friedrich Stromeyer and Karl Samuel Leberecht Hermann , both in Germany , as an impurity in zinc carbonate .",eyer found the new element as an impurity in zinc carbonate ( calamine ),512,4385
199,269,195,349, featured," originally intended to open the ride in 1996 , but the opening was delayed because of several issues with the launch system . The ride was closed in late 2010 for refurbishment , and it emerged in 2011 as "" Superman : Escape from Krypton "" . The refurbished ride"," new trains which face backward , and it was painted with a new color scheme .",512,1923
